Title,TransmissionType,TransmissionTypePointValue
TRUCK/FLYAWAY,TRUCK/FLYAWAY,
LIVEU,LIVEU,
LATAKOO,LATAKOO,
FIBER/FIXED,FIBER/FIXED,
AFFILIATE/STUDIO,AFFILIATE/STUDIO,
OTHER,OTHER,
