Title,AudioNeed,AudioNeedPointValue
1-2 audio sources,1-2 audio sources,1
3+ audio sources (mixer required),3+ audio sources (mixer required),2
Complex audio requirements,Complex audio requirements,2
Group / panel interview,Group / panel interview,3
