Title,TalentType,TalentTypePointValue
Multiple Talent,Multiple Talent,4
Anchor (Lead),Anchor (Lead),4
Anchor (Co),Anchor (Co),3
Correspondent,Correspondent,1
Guest/Contributor,Guest/Contributor,1
