Title,SpecialConditions,SpecialConditionPointValue
None,None,0
High profile guest,High profile guest,1
Additional/complex lighting,Additional/complex lighting,1
Time constraints,Time constraints,1
Weather concern,Weather concern,1
Safety/security concern,Safety/security concern,1
Large disaster/Major breaking news,Large disaster/Major breaking news,3
